query,english_gloss,language,intent,stage,demand,source,topic_cluster
how to sell off-plan property in Dubai,how to sell off-plan property in Dubai,en,informational,Researching,3,SERP,Process & eligibility
sell off-plan before handover Dubai,sell off-plan before handover Dubai,en,informational,Researching,3,SERP,Process & eligibility
can you sell off-plan property in Dubai,can you sell off-plan property in Dubai,en,informational,Considering,3,Quora,Process & eligibility
off-plan resale Dubai process,off-plan resale Dubai process,en,informational,Researching,3,SERP,Process & eligibility
how to resell off-plan property Dubai,how to resell off-plan property Dubai,en,informational,Researching,3,SERP,Process & eligibility
SPA assignment Dubai,SPA assignment Dubai,en,informational,Researching,3,PAA,SPA transfer
assignment of contract Dubai property,assignment of contract Dubai property,en,informational,Researching,2,Publisher,Process & eligibility
Oqood transfer Dubai,Oqood transfer Dubai,en,informational,Researching,3,SERP,Oqood & DLD mechanics
Oqood vs title deed,Oqood vs title deed,en,informational,Considering,3,Publisher,Oqood & DLD mechanics
NOC for selling off-plan Dubai,NOC for selling off-plan Dubai,en,informational,Researching,3,SERP,NOC procedures
developer NOC fee Dubai,developer NOC fee Dubai,en,commercial-investigational,Researching,3,PAA,NOC procedures
Emaar NOC fee off-plan,Emaar NOC fee off-plan,en,commercial-investigational,Researching,3,SERP,NOC procedures
Emaar resale NOC percentage paid,Emaar resale NOC percentage paid,en,commercial-investigational,Researching,2,Publisher,NOC procedures
Sobha NOC fee,Sobha NOC fee,en,commercial-investigational,Researching,2,Inferred,NOC procedures
Damac NOC resale fee,Damac NOC resale fee,en,commercial-investigational,Researching,2,SERP,NOC procedures
Nakheel NOC resale fee,Nakheel NOC resale fee,en,commercial-investigational,Researching,2,Publisher,NOC procedures
Nakheel novation agreement,Nakheel novation agreement,en,informational,Researching,1,Publisher,Developer-specific rules
Meraas NOC resale,Meraas NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
Azizi NOC resale,Azizi NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
Danube Properties NOC resale,Danube Properties NOC resale,en,commercial-investigational,Researching,1,Inferred,NOC procedures
minimum percentage paid to resell off-plan Dubai,minimum percentage paid to resell off-plan Dubai,en,informational,Researching,3,PAA,Fees & net proceeds
30% paid can I sell off-plan,30% paid can I sell off-plan,en,informational,Researching,2,Inferred,Fees & net proceeds
40% paid sell Dubai off-plan,40% paid sell Dubai off-plan,en,informational,Researching,2,Inferred,Fees & net proceeds
Dubai off-plan payment threshold for resale,Dubai off-plan payment threshold for resale,en,informational,Researching,2,Publisher,Fees & net proceeds
how long to sell off-plan Dubai,how long to sell off-plan Dubai,en,informational,Frustrated,2,Publisher,Pricing & benchmarking
off-plan not selling Dubai what to do,off-plan not selling Dubai what to do,en,informational,Frustrated,2,Inferred,Process & eligibility
Dubai off-plan assignment fee calculator,Dubai off-plan assignment fee calculator,en,transactional,Ready,1,Empty SERP,Fees & net proceeds
net proceeds Dubai off-plan sale,net proceeds Dubai off-plan sale,en,commercial-investigational,Ready,2,Empty SERP,Fees & net proceeds
how much will I net selling off-plan Dubai,how much will I net selling off-plan Dubai,en,commercial-investigational,Ready,2,Empty SERP,Fees & net proceeds
total cost to sell off-plan Dubai,total cost to sell off-plan Dubai,en,commercial-investigational,Researching,2,Publisher,Fees & net proceeds
DLD transfer fee who pays buyer or seller,DLD transfer fee who pays buyer or seller,en,informational,Researching,3,PAA,Oqood & DLD mechanics
4% DLD fee split seller buyer,4% DLD fee split seller buyer,en,informational,Researching,3,Publisher,Oqood & DLD mechanics
DLD 4% waiver off-plan,DLD 4% waiver off-plan,en,informational,Researching,2,Publisher,Oqood & DLD mechanics
Form F Dubai property sale,Form F Dubai property sale,en,informational,Ready,3,SERP,"Documents & forms (Form F/A, Trakheesi)"
Form A Dubai seller marketing agreement,Form A Dubai seller marketing agreement,en,informational,Ready,2,Publisher,"Documents & forms (Form F/A, Trakheesi)"
Trakheesi permit for sellers,Trakheesi permit for sellers,en,informational,Ready,2,Publisher,"Documents & forms (Form F/A, Trakheesi)"
Trakheesi QR code listing,Trakheesi QR code listing,en,informational,Ready,2,Inferred,"Documents & forms (Form F/A, Trakheesi)"
how to list my property on Bayut myself,how to list my property on Bayut myself,en,transactional,Ready,2,Publisher,Marketplace / listing channels
how to list on Property Finder as owner,how to list on Property Finder as owner,en,transactional,Ready,2,Publisher,Marketplace / listing channels
sell property Dubai without agent,sell property Dubai without agent,en,commercial-investigational,Ready,2,Inferred,Commission — 0.15% vs 2%
FSBO Dubai for sale by owner,FSBO Dubai for sale by owner,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
Dubai real estate commission 2% who pays,Dubai real estate commission 2% who pays,en,informational,Researching,3,SERP,Commission — 0.15% vs 2%
seller commission Dubai real estate,seller commission Dubai real estate,en,informational,Researching,3,SERP,Commission — 0.15% vs 2%
negotiate real estate commission Dubai,negotiate real estate commission Dubai,en,commercial-investigational,Ready,2,Publisher,Commission — 0.15% vs 2%
low commission real estate broker Dubai,low commission real estate broker Dubai,en,commercial-investigational,Ready,2,Thin SERP,Commission — 0.15% vs 2%
flat fee real estate broker Dubai,flat fee real estate broker Dubai,en,commercial-investigational,Ready,1,Empty SERP,Commission — 0.15% vs 2%
how much commission on AED 2M Dubai,how much commission on AED 2M Dubai,en,commercial-investigational,Researching,2,Empty SERP,Commission — 0.15% vs 2%
VAT on broker commission Dubai,VAT on broker commission Dubai,en,informational,Researching,2,Publisher,Commission — 0.15% vs 2%
capital gains tax Dubai property,capital gains tax Dubai property,en,informational,Researching,3,SERP,Tax — home-country residual
capital gains tax Dubai non-resident seller,capital gains tax Dubai non-resident seller,en,informational,Researching,3,SERP,Tax — home-country residual
do I pay tax selling Dubai property UK,do I pay tax selling Dubai property UK,en,informational,Researching,2,Inferred,Tax — home-country residual
US tax selling Dubai property expat,US tax selling Dubai property expat,en,informational,Researching,2,Inferred,Tax — home-country residual
Indian resident selling Dubai property tax,Indian resident selling Dubai property tax,en,informational,Researching,2,Inferred,Tax — home-country residual
GCC national selling Dubai property,GCC national selling Dubai property,en,informational,Researching,1,Empty SERP,Tax — home-country residual
power of attorney sell Dubai property remotely,power of attorney sell Dubai property remotely,en,informational,Researching,3,SERP,Remote selling / POA
sell Dubai property without coming to Dubai,sell Dubai property without coming to Dubai,en,informational,Researching,3,Publisher,Remote selling / POA
POA notarise Dubai from abroad,POA notarise Dubai from abroad,en,informational,Researching,2,Publisher,Remote selling / POA
remote seller Dubai property Botim video,remote seller Dubai property Botim video,en,informational,Researching,1,Publisher,Remote selling / POA
UK notarise POA Dubai property,UK notarise POA Dubai property,en,informational,Researching,1,Inferred,Remote selling / POA
India attestation POA Dubai property,India attestation POA Dubai property,en,informational,Researching,1,Inferred,Remote selling / POA
UAE MOFA attestation POA seller,UAE MOFA attestation POA seller,en,informational,Researching,1,Publisher,Remote selling / POA
UAE bank account required to sell property,UAE bank account required to sell property,en,informational,Researching,2,Publisher,Banking / getting paid
sell Dubai off-plan at a loss,sell Dubai off-plan at a loss,en,informational,Frustrated,2,Publisher,Payment plan arrears / distress
off-plan Dubai losing money exit,off-plan Dubai losing money exit,en,informational,Frustrated,2,Inferred,Tax — home-country residual
payment plan takeover by buyer Dubai,payment plan takeover by buyer Dubai,en,informational,Researching,2,Publisher,Payment plan arrears / distress
novation agreement Dubai off-plan,novation agreement Dubai off-plan,en,informational,Researching,1,Thin SERP,SPA transfer
off-plan selling best time before handover,off-plan selling best time before handover,en,informational,Researching,2,Publisher,Process & eligibility
should I sell off-plan or wait for handover,should I sell off-plan or wait for handover,en,commercial-investigational,Considering,2,Inferred,Process & eligibility
sell off-plan vs hold Dubai,sell off-plan vs hold Dubai,en,commercial-investigational,Considering,2,Inferred,Process & eligibility
flipping off-plan Dubai 2026,flipping off-plan Dubai 2026,en,commercial-investigational,Considering,2,SERP,Market context / oversupply
off-plan oversupply Dubai 2026 sell now,off-plan oversupply Dubai 2026 sell now,en,informational,Considering,2,SERP,Market context / oversupply
JVC off-plan oversupply sell,JVC off-plan oversupply sell,en,informational,Frustrated,1,Inferred,Market context / oversupply
Business Bay off-plan resale 2026,Business Bay off-plan resale 2026,en,informational,Researching,1,Inferred,Market context / oversupply
Azizi Venice resale,Azizi Venice resale,en,commercial-investigational,Researching,1,Inferred,Developer-specific rules
off-plan Dubai sell mortgaged property,off-plan Dubai sell mortgaged property,en,informational,Researching,2,Publisher,Banking / getting paid
bank NOC off-plan sale Dubai,bank NOC off-plan sale Dubai,en,informational,Researching,2,Publisher,NOC procedures
liability letter Dubai property sale,liability letter Dubai property sale,en,informational,Ready,1,Publisher,Banking / getting paid
cancel off-plan Dubai refund,cancel off-plan Dubai refund,en,informational,Frustrated,3,SERP,Payment plan arrears / distress
RERA cancel off-plan contract seller,RERA cancel off-plan contract seller,en,informational,Frustrated,2,Publisher,Payment plan arrears / distress
can developer block my resale Dubai,can developer block my resale Dubai,en,informational,Frustrated,2,Inferred,Payment plan arrears / distress
developer delay handover seller rights,developer delay handover seller rights,en,informational,Frustrated,2,Publisher,Payment plan arrears / distress
RERA seller complaint Dubai,RERA seller complaint Dubai,en,informational,Frustrated,1,Inferred,Regulatory / RERA
how to choose broker to sell off-plan Dubai,how to choose broker to sell off-plan Dubai,en,commercial-investigational,Researching,2,Publisher,Process & eligibility
broker red flags Dubai selling,broker red flags Dubai selling,en,informational,Researching,2,Publisher,Process & eligibility
verified broker check Dubai REST,verified broker check Dubai REST,en,informational,Researching,2,Publisher,Oqood & DLD mechanics
exclusive vs open listing Dubai,exclusive vs open listing Dubai,en,commercial-investigational,Ready,1,Publisher,Marketplace / listing channels
how to price my off-plan for sale Dubai,how to price my off-plan for sale Dubai,en,informational,Ready,2,Inferred,Pricing & benchmarking
off-plan resale price benchmark Dubai,off-plan resale price benchmark Dubai,en,informational,Ready,2,Inferred,Pricing & benchmarking
DLD price per sqft index off-plan,DLD price per sqft index off-plan,en,informational,Ready,1,Inferred,Oqood & DLD mechanics
Dubai REST app value estimate off-plan,Dubai REST app value estimate off-plan,en,informational,Researching,1,Publisher,Oqood & DLD mechanics
sell Dubai off-plan fast cash offer,sell Dubai off-plan fast cash offer,en,transactional,Frustrated,2,SERP,Marketplace / listing channels
iBuyer Dubai property,iBuyer Dubai property,en,commercial-investigational,Frustrated,1,Empty SERP,Marketplace / listing channels
cash buyer off-plan Dubai,cash buyer off-plan Dubai,en,transactional,Frustrated,2,SERP,Marketplace / listing channels
Dubai off-plan listing marketplace,Dubai off-plan listing marketplace,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
off-plan resale platform Dubai,off-plan resale platform Dubai,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
sell off-plan online Dubai,sell off-plan online Dubai,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
list off-plan property free Dubai,list off-plan property free Dubai,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
Dubai off-plan seller marketplace AI,Dubai off-plan seller marketplace AI,en,commercial-investigational,Ready,1,Empty SERP,Marketplace / listing channels
how to sell off-plan Dubai step by step 2026,how to sell off-plan Dubai step by step 2026,en,informational,Researching,3,Publisher,Market context / oversupply
off-plan resale checklist Dubai,off-plan resale checklist Dubai,en,informational,Ready,2,Publisher,"Documents & forms (Form F/A, Trakheesi)"
documents to sell off-plan Dubai,documents to sell off-plan Dubai,en,informational,Ready,2,Publisher,"Documents & forms (Form F/A, Trakheesi)"
passport copy Form A signature match,passport copy Form A signature match,en,informational,Ready,1,Publisher,"Documents & forms (Form F/A, Trakheesi)"
how much does it cost to sell off-plan Dubai,how much does it cost to sell off-plan Dubai,en,commercial-investigational,Researching,3,SERP,Fees & net proceeds
developer assignment fee schedule Dubai,developer assignment fee schedule Dubai,en,commercial-investigational,Researching,2,Publisher,Process & eligibility
2% vs 3% commission split off-plan Dubai,2% vs 3% commission split off-plan Dubai,en,commercial-investigational,Researching,1,Empty SERP,Commission — 0.15% vs 2%
seller-side agent vs buyer-side Dubai,seller-side agent vs buyer-side Dubai,en,informational,Researching,1,Inferred,Process & eligibility
sell Dubai off-plan to new buyer different nationality,sell Dubai off-plan to new buyer different nationality,en,informational,Researching,1,Inferred,Process & eligibility
GCC buyer DLD fee discount,GCC buyer DLD fee discount,en,informational,Researching,1,Inferred,Oqood & DLD mechanics
first-time seller off-plan Dubai guide,first-time seller off-plan Dubai guide,en,informational,Researching,2,Publisher,Process & eligibility
exit Dubai off-plan 2 years before handover,exit Dubai off-plan 2 years before handover,en,informational,Considering,2,Inferred,Process & eligibility
sell off-plan during construction Dubai,sell off-plan during construction Dubai,en,informational,Researching,2,SERP,Process & eligibility
oversupply 2026 sell now or wait,oversupply 2026 sell now or wait,en,commercial-investigational,Considering,2,SERP,Market context / oversupply
JVC oversupply 2026 sell off-plan,JVC oversupply 2026 sell off-plan,en,commercial-investigational,Frustrated,1,Inferred,Market context / oversupply
Business Bay oversupply seller,Business Bay oversupply seller,en,commercial-investigational,Frustrated,1,Inferred,Market context / oversupply
Dubai South off-plan sell 2026,Dubai South off-plan sell 2026,en,commercial-investigational,Researching,1,Inferred,Market context / oversupply
off-plan Dubai snag period seller,off-plan Dubai snag period seller,en,informational,Researching,1,Publisher,Market context / oversupply
DLD Oqood transfer trustee office,DLD Oqood transfer trustee office,en,informational,Ready,2,Publisher,Oqood & DLD mechanics
registration trustee DLD appointment,registration trustee DLD appointment,en,informational,Ready,2,Publisher,Oqood & DLD mechanics
Dubai off-plan resale e-contract,Dubai off-plan resale e-contract,en,informational,Ready,1,Publisher,"Documents & forms (Form F/A, Trakheesi)"
off-plan broker exclusivity agreement,off-plan broker exclusivity agreement,en,commercial-investigational,Ready,1,Inferred,Process & eligibility
sell off-plan Dubai WhatsApp broker,sell off-plan Dubai WhatsApp broker,en,commercial-investigational,Ready,1,Inferred,Marketplace / listing channels
بيع عقار على الخارطة قبل التسليم,Selling off-plan before handover,ar,commercial-investigational,Consideration,3,bayut-mybayut-ar,Process & eligibility
إعادة بيع عقار على المخطط,Resale of off-plan property,ar,commercial-investigational,Consideration,3,bayut+emaratalyoum+luxurysignature,Process & eligibility
كيفية بيع عقار على الخارطة دبي,How to sell off-plan Dubai,ar,informational,Consideration,3,dxbproperties+bayut,Process & eligibility
بيع عقار على الخارطة دبي خطوات,Selling off-plan Dubai steps,ar,informational,Consideration,3,dxbproperties,Process & eligibility
شهادة عدم ممانعة إعمار,Emaar NOC,ar,commercial-investigational,Decision,2,3rd-party-only,NOC procedures
شهادة عدم ممانعة داماك,Damac NOC,ar,informational,Decision,1,none-specific,NOC procedures
شهادة عدم ممانعة صوبها,Sobha NOC,ar,informational,Decision,1,empty,NOC procedures
شهادة عدم ممانعة نخيل,Nakheel NOC,ar,informational,Decision,1,empty,NOC procedures
ما هي شهادة عدم الممانعة NOC,What is a NOC,ar,informational,Awareness,3,shuraa+amercenter+dari,NOC procedures
رسوم شهادة عدم الممانعة مطور,NOC fees from developer,ar,commercial-investigational,Decision,2,alaainvest+bayut,NOC procedures
عمولة الوسيط العقاري في دبي,Broker commission Dubai,ar,commercial-investigational,Consideration,3,bayut+mada+masdarak+arabmls,Commission — 0.15% vs 2%
كم نسبة عمولة الوكيل العقاري دبي,What percent broker commission,ar,informational,Consideration,3,saudigoall+excel+mada,Commission — 0.15% vs 2%
من يدفع عمولة العقار دبي,Who pays commission,ar,informational,Awareness,2,excelproperties+mada,Commission — 0.15% vs 2%
عمولة 2% بيع عقار,2% sale commission,ar,informational,Awareness,2,bayut,Commission — 0.15% vs 2%
بيع عقار بدون وسيط دبي,Sell without broker Dubai,ar,transactional,Decision,2,bayut-pros-cons,Commission — 0.15% vs 2%
بيع عقار من المالك مباشرة دبي,Sell direct from owner Dubai,ar,transactional,Decision,2,bayut-filter,Commission — 0.15% vs 2%
عقد البيع والشراء SPA دبي,SPA Dubai,ar,informational,Consideration,3,tarafholding+fandc+dubizzle,SPA transfer
التراجع عن اتفاقية البيع والشراء,Rescinding SPA,ar,informational,Decision,2,atblegal,SPA transfer
تسجيل عقد بيع مبدئي دبي,Initial SPA registration,ar,informational,Decision,2,DLD+bayut,SPA transfer
تسجيل عقد بيع على المخطط 90 يوم,90-day Oqood registration,ar,informational,Decision,2,bayut+dlp,Oqood & DLD mechanics
أوقود دبي,Oqood Dubai,ar,informational,Awareness,2,westgate+DLD,Oqood & DLD mechanics
تسجيل البيع المبدئي دائرة الأراضي,Initial registration DLD,ar,informational,Decision,2,DLD,Oqood & DLD mechanics
رسوم تحويل ملكية العقار دبي 4%,4% transfer fee Dubai,ar,informational,Decision,3,dxbproperties+westgate+taraf+bayut,Oqood & DLD mechanics
4% DLD من يدفع البائع المشتري,Who pays DLD 4%,ar,informational,Decision,3,almardinli+bayut,Oqood & DLD mechanics
رسوم دائرة الأراضي والأملاك 2025,DLD fees 2025,ar,informational,Decision,3,tarafholding+westgate,Oqood & DLD mechanics
رسوم دائرة الأراضي والأملاك 2026,DLD fees 2026,ar,informational,Decision,2,westgate-only,Oqood & DLD mechanics
خطة دفع عقار على الخارطة دبي,Off-plan payment plan,ar,commercial-investigational,Awareness,3,excel+dxbproperties,Payment plan arrears / distress
خطة 1% شهرياً دبي,1% monthly plan,ar,commercial-investigational,Consideration,3,baytealjameel-portal,Payment plan arrears / distress
خطة دفع ما بعد التسليم,Post-handover plan,ar,commercial-investigational,Consideration,3,developer-sites,Payment plan arrears / distress
متأخرات خطة الدفع دبي,Payment plan arrears,ar,informational,Decision,2,excel+offplan-dubai,Payment plan arrears / distress
30% مدفوعة شرط البيع,30% paid threshold,ar,informational,Decision,3,dxbproperties+bayut+offplan+ghafwoods,Fees & net proceeds
ضريبة بيع العقار دبي,Tax on property sale,ar,informational,Decision,3,apil+propertyfinder-guide,Tax — home-country residual
ضريبة أرباح رأسمالية دبي,Capital gains tax Dubai,ar,informational,Decision,3,apil+jurists,Tax — home-country residual
ضريبة العقارات المقيم غير المقيم,Resident vs non-resident tax,ar,informational,Awareness,2,apil-fragments,Tax — home-country residual
ضريبة الشركات 9% عقار دبي,9% corporate tax property,ar,informational,Decision,2,u.ae+wafeq+alkhaleej,Tax — home-country residual
ضريبة القيمة المضافة بيع سكني,VAT residential sale,ar,informational,Decision,2,bayut-vat,Tax — home-country residual
تقييم عقار دبي DLD,DLD valuation,ar,transactional,Decision,2,DLD+dxbproperties,Oqood & DLD mechanics
التقييم الذكي دائرة الأراضي,DLD Smart Valuation,ar,informational,Decision,1,dxbproperties-only,Oqood & DLD mechanics
قانون التملك الحر دبي للأجانب,Freehold law foreigners,ar,informational,Awareness,3,bayut+damac+imtilak+shuraa,Regulatory / RERA
مناطق التملك الحر دبي,Dubai freehold areas,ar,informational,Awareness,3,damac+bayut+selecthouse,Regulatory / RERA
توكيل بيع عقار دبي,PoA to sell property,ar,informational,Decision,3,poa.ae+privatenotary+barrister+jurists,Remote selling / POA
